LogID,lat,lon,alt,time
235,52.390248333,13.040461667,34.1,2023-01-20T15:32:09.000Z
236,52.39027,13.040501667,33.9,2023-01-20T15:32:13.000Z
237,52.390291667,13.040516667,33.7,2023-01-20T15:32:15.000Z
238,52.3903,13.040525,34.3,2023-01-20T15:32:16.000Z
239,52.39033,13.040548333,35.5,2023-01-20T15:32:19.000Z
240,52.390346667,13.040573333,33.5,2023-01-20T15:32:21.000Z
241,52.390351667,13.040601667,36.0,2023-01-20T15:32:23.000Z
242,52.390405,13.0406,38.5,2023-01-20T15:32:25.000Z
243,52.390426667,13.040593333,41.2,2023-01-20T15:32:27.000Z
244,52.390441667,13.040578333,43.7,2023-01-20T15:32:29.000Z
245,52.390441667,13.040578333,43.7,2023-01-20T15:32:29.000Z
246,52.390556667,13.040628333,31.9,2023-01-20T15:32:33.000Z
247,52.390586667,13.040646667,29.4,2023-01-20T15:32:35.000Z
248,52.390586667,13.040646667,29.4,2023-01-20T15:32:35.000Z
249,52.390658333,13.040671667,27.9,2023-01-20T15:32:40.000Z
250,52.390666667,13.04069,29.0,2023-01-20T15:32:41.000Z
251,52.390666667,13.04069,29.0,2023-01-20T15:32:41.000Z
252,52.390741667,13.040666667,28.9,2023-01-20T15:32:46.000Z
253,52.39076,13.040633333,27.7,2023-01-20T15:32:48.000Z
254,52.390763333,13.04061,27.2,2023-01-20T15:32:49.000Z
255,52.390786667,13.04054,27.1,2023-01-20T15:32:52.000Z
256,52.390801667,13.04052,26.5,2023-01-20T15:32:54.000Z
257,52.390806667,13.04047,28.0,2023-01-20T15:32:56.000Z
258,52.39081,13.040425,28.4,2023-01-20T15:32:58.000Z
259,52.390813333,13.040386667,28.7,2023-01-20T15:33:00.000Z
260,52.390818333,13.040348333,28.4,2023-01-20T15:33:02.000Z
261,52.390823333,13.040313333,28.6,2023-01-20T15:33:04.000Z
262,52.390831667,13.040263333,29.0,2023-01-20T15:33:06.000Z
263,52.390833333,13.040221667,28.0,2023-01-20T15:33:08.000Z
264,52.390833333,13.040221667,28.0,2023-01-20T15:33:08.000Z
265,52.390838333,13.040143333,27.0,2023-01-20T15:33:12.000Z
